----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
Accel-Sim-build,,,,,,,,,,,,,,,,,
H200-SASS-accel-b35523e-gpgpu-05e8c7e,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-8a6539a-gpgpu-3197413,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-0cee02c-gpgpu-10b44a9,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-0223e0e-gpgpu-fe9e5ea,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-6a44245-gpgpu-59f9aa6,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-94f8725-gpgpu-59f9aa6,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-e9bbcac-gpgpu-59f9aa6,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-ee0dce3-gpgpu-59f9aa6,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,159169097.6
H200-SASS-accel-20452b0-gpgpu-ff697f9,54921216.0,2275328.0,40713216.0,30594.0,1019265024.0,58399.0,294223872.0,110140108.0,8677376.0,36982.0,3342336.0,3342336.0,4277248.0,88568832.0,26741760.0,29995008.0,105413102.2

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,l1_bw_64f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PdS0_--0,l1_bw_128/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfS0_--0,l1_lat/__blocks_1___fast--_Z6l1_latPjS_PmS0_jj--0,l2_bw_64f/__tpb_1024___tpsm_1024___fast--_Z5l2_bwPjS_PdS0_jj--0,l2_lat/__fast--_Z10l2_hit_latPjS_PmS0_--0,mem_bw/__tpb_1024___tpsm_1024--_Z6mem_bwPfS_S_S_S_S_PjS0_j--0,mem_lat/__fast--_Z7mem_latPjS_PmS0_j--0,shared_bw/__tpb_1024___tpsm_1024___blocks_1--_Z9shared_bwPmS_Pjj--0,shared_lat/__blocks_1--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxIops_int32/__tpb_1024____blocks_1--_Z9max_flopsIiEvPjS0_PT_S2_S2_--0,l1_shared_bw/__tpb_1024____blocks_1--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/__tpb_1024___blocks_1--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/__tpb_1024____blocks_1--_Z5l1_bwPjS_PfS0_--0,AV--VG
H200-SASS-accel-f56ba0a-gpgpu-0a789ab,508.0,47.0,363.0,68.0,NA,5100.0,11651.0,8592.0,156.0,117.0,NA,NA,NA,NA,NA,NA,2491.6
H200-SASS-accel-1c450ae-gpgpu-e4a8836,401.0,40.0,368.0,54.0,NA,5113.0,11641.0,8417.0,152.0,138.0,NA,NA,NA,NA,NA,NA,2569.1
H200-SASS-accel-b9da7ee-gpgpu-e4a8836,517.0,49.0,332.0,63.0,NA,4995.0,11323.0,8662.0,137.0,129.0,NA,NA,NA,NA,NA,NA,2483.1
H200-SASS-accel-b4dd5bb-gpgpu-e4a8836,461.0,44.0,329.0,63.0,NA,3264.0,12429.0,5577.0,142.0,128.0,NA,NA,NA,NA,NA,NA,2383.8
H200-SASS-accel-a0575d5-gpgpu-0f3a798,351.0,43.0,332.0,57.0,NA,5246.0,15105.0,8796.0,182.0,96.0,NA,NA,NA,NA,NA,NA,2778.2
H200-SASS-accel-826d0fd-gpgpu-0f3a798,525.0,44.0,492.0,55.0,NA,3799.0,11857.0,8606.0,134.0,123.0,NA,NA,NA,NA,NA,NA,2848.3
H200-SASS-accel-ae93dc4-gpgpu-b464869,273.0,34.0,267.0,43.0,8968.0,4244.0,10938.0,5547.0,107.0,69.0,45.0,26.0,36.0,931.0,194.0,138.0,2173.2
H200-SASS-accel-7e1bdc7-gpgpu-b464869,366.0,28.0,241.0,35.0,8203.0,4211.0,10275.0,4392.0,99.0,66.0,42.0,24.0,33.0,782.0,184.0,177.0,1997.0
H200-SASS-accel-88ca971-gpgpu-b464869,273.0,44.0,274.0,54.0,11863.0,2702.0,13488.0,4388.0,126.0,115.0,40.0,28.0,61.0,734.0,216.0,215.0,2425.4
H200-SASS-accel-c0fe2dc-gpgpu-b464869,595.0,61.0,500.0,78.0,7317.0,4880.0,9720.0,7523.0,188.0,165.0,38.0,27.0,81.0,1063.0,349.0,350.0,2126.6
H200-SASS-accel-9e36462-gpgpu-b464869,468.0,40.0,332.0,31.0,8356.0,2785.0,12341.0,4711.0,146.0,86.0,48.0,29.0,50.0,893.0,258.0,172.0,2108.1
H200-SASS-accel-342cc02-gpgpu-01f6fc4,421.0,41.0,294.0,55.0,5907.0,2873.0,8766.0,6750.0,119.0,108.0,47.0,30.0,42.0,834.0,156.0,153.0,1812.8
H200-SASS-accel-1ec7713-gpgpu-9783b92,398.0,40.0,344.0,57.0,6309.0,4668.0,7463.0,5065.0,96.0,114.0,40.0,23.0,40.0,1457.0,272.0,187.0,1783.9
H200-SASS-accel-0b5b590-gpgpu-9783b92,346.0,51.0,436.0,60.0,4982.0,4507.0,4588.0,6203.0,147.0,129.0,44.0,23.0,65.0,867.0,167.0,188.0,1532.8
H200-SASS-accel-e974aca-gpgpu-9783b92,391.0,36.0,386.0,49.0,6968.0,2656.0,7512.0,6850.0,109.0,99.0,37.0,26.0,52.0,900.0,175.0,173.0,1750.9
H200-SASS-accel-ebf1186-gpgpu-9783b92,407.0,33.0,337.0,41.0,7455.0,2606.0,6939.0,6425.0,105.0,93.0,36.0,23.0,45.0,798.0,209.0,208.0,1784.2
H200-SASS-accel-f7c8c46-gpgpu-0c33f5a,390.0,28.0,372.0,39.0,6379.0,4213.0,8610.0,7038.0,98.0,70.0,40.0,24.0,37.0,871.0,190.0,134.0,1864.1
H200-SASS-accel-08de43a-gpgpu-0c33f5a,378.0,32.0,276.0,40.0,5644.0,4178.0,7188.0,4463.0,100.0,51.0,35.0,23.0,42.0,752.0,188.0,188.0,1521.5
H200-SASS-accel-43c51cb-gpgpu-0c33f5a,307.0,30.0,295.0,38.0,5960.0,4136.0,7663.0,4613.0,101.0,71.0,41.0,23.0,38.0,846.0,194.0,142.0,1642.2
H200-SASS-accel-e83e5f9-gpgpu-0c33f5a,368.0,31.0,252.0,38.0,5879.0,4072.0,7977.0,7123.0,99.0,89.0,36.0,25.0,43.0,764.0,185.0,139.0,1710.0
