----------------------------------------------------------------------------------------------------,,,,,,,,
Accel-Sim-build,,,,,,,,
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,4676.0,NA,0.0,0.0,0.0,16.0,0.0,0.0,1970291.8
RTX2060-SASS-accel-9719269-gpgpu-c51350d,4676.0,NA,0.0,0.0,0.0,20.0,0.0,0.0,1970292.1
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,6032.0,NA,0.0,0.0,0.0,20.0,0.0,0.0,1971427.2
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,6032.0,NA,0.0,0.0,0.0,20.0,0.0,0.0,1971390.7
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,4892.0,NA,102000.0,0.0,0.0,0.0,0.0,0.0,1977096.9
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,5276.0,NA,101472.0,0.0,0.0,0.0,0.0,0.0,2108258.9
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,4280.0,6832.0,98688.0,0.0,0.0,0.0,0.0,0.0,1976773.3
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,1504.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1968851.9
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,1504.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1968768.8
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,1552.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1968836.1
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,1548.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1968857.8
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,1572.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1968934.1
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,1592.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,1968890.1
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,1532.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,1968867.8
RTX2060-SASS-accel-5745567-gpgpu-d38b300,1532.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,1968884.2
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,1592.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,1968888.6
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,1584.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1968765.9
RTX2060-SASS-accel-052e574-gpgpu-d38b300,1592.0,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,1968825.2
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,1520.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,1968852.6
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,1604.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1969004.7
RTX2060-SASS-accel-2390972-gpgpu-13c6711,1516.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1969013.0
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,1580.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1968985.8
RTX2060-SASS-accel-7442333-gpgpu-13c6711,1560.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,1968991.1
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,1560.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,9380356.9
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,9380159.0
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,9380159.0
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,9380356.9
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,9380159.0
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,2048.0,2048.0,NA,NA,NA,31609.3
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,3300.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,9380159.0
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,6736.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2636645.3
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,6736.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2636645.3
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,6736.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2636645.3
RTX2060-SASS-accel-9719269-gpgpu-c51350d,6736.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2636645.3
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,8092.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2635842.3
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,8092.0,NA,2048.0,2048.0,2048.0,8192.0,NA,NA,2635884.0
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,6952.0,NA,104048.0,2048.0,2048.0,7936.0,NA,NA,2642032.4
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,7336.0,NA,103520.0,2048.0,2048.0,7936.0,NA,NA,2844459.2
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,6340.0,8888.0,100736.0,2048.0,2048.0,7936.0,NA,NA,2641668.7
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,3564.0,3096.0,2048.0,NA,NA,7936.0,NA,NA,3071061.5
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,3564.0,3096.0,2048.0,NA,NA,7936.0,NA,NA,3071061.5
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,3612.0,3096.0,2048.0,NA,NA,7936.0,NA,NA,3071065.5
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,3608.0,3136.0,2048.0,NA,NA,7936.0,NA,NA,3071068.5
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,3632.0,3136.0,2048.0,NA,NA,7936.0,NA,NA,3071070.5
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,3652.0,3088.0,2048.0,NA,NA,7936.0,NA,NA,3071068.2
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,3592.0,3128.0,2048.0,NA,NA,7936.0,NA,NA,3071066.5
RTX2060-SASS-accel-5745567-gpgpu-d38b300,3592.0,3128.0,2048.0,NA,NA,7936.0,NA,NA,3071066.5
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,3652.0,3176.0,2048.0,NA,NA,7936.0,NA,NA,3071075.5
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,3644.0,3136.0,2048.0,NA,NA,7936.0,NA,NA,3071071.5
RTX2060-SASS-accel-052e574-gpgpu-d38b300,3652.0,3160.0,2048.0,NA,NA,7936.0,NA,NA,3071074.2
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,3580.0,3128.0,2048.0,NA,NA,7936.0,NA,NA,3071065.5
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,3664.0,3048.0,2048.0,NA,NA,7936.0,NA,NA,3071065.8
RTX2060-SASS-accel-2390972-gpgpu-13c6711,3576.0,3048.0,2048.0,NA,NA,7936.0,NA,NA,3071058.5
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,3640.0,3048.0,2048.0,NA,NA,7936.0,NA,NA,3071063.8
RTX2060-SASS-accel-7442333-gpgpu-13c6711,3620.0,3048.0,2048.0,NA,NA,7936.0,NA,NA,3071062.2
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,3620.0,3048.0,2048.0,NA,NA,7936.0,NA,NA,4163.0

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,1.2
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,1.2
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,1.2
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,1.2
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,1.2
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-9719269-gpgpu-c51350d,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,12.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.2
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,12.0,NA,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,12.0,NA,0.0,6144.0,6144.0,0.0,0.0,0.0,1024.8
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-5745567-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-052e574-gpgpu-d38b300,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-2390972-gpgpu-13c6711,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-7442333-gpgpu-13c6711,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,961.2
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,12.0,8.0,0.0,6144.0,6144.0,0.0,0.0,0.0,1538.5

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,92873.3
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,92873.3
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,92873.3
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,92873.3
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,92873.3
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,8198.0,8198.0,NA,NA,NA,5593.3
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-9719269-gpgpu-c51350d,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,384.0,NA,384.0,8198.0,8198.0,229379.0,384.0,3.0,99030.7
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-5745567-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-052e574-gpgpu-d38b300,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-2390972-gpgpu-13c6711,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-7442333-gpgpu-13c6711,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,92873.3
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,384.0,512.0,384.0,8198.0,8198.0,229379.0,384.0,3.0,30930.2

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,394384.9
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,394384.9
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,394384.9
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,394384.9
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,394384.9
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,65538.0,65538.0,NA,NA,NA,258160.3
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,136613.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,394384.9
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,152597.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,402228.1
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,152597.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,402228.1
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,152597.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,402228.1
RTX2060-SASS-accel-9719269-gpgpu-c51350d,152597.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,402228.1
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,149750.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,399292.7
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,149750.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,399292.7
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,133120.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,133120.0,NA,2099200.0,65538.0,65538.0,8192.0,NA,NA,411260.9
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-5745567-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-052e574-gpgpu-d38b300,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-2390972-gpgpu-13c6711,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-7442333-gpgpu-13c6711,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,383446.8
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,133120.0,133120.0,2099200.0,65538.0,65538.0,8192.0,NA,NA,417451.3

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,225699.1
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,225699.1
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,225699.1
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,225699.1
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,225699.1
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,63490.0,63490.0,NA,NA,NA,158147.7
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,126327.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,225699.1
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,106907.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,222009.9
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,106907.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,222009.9
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,106907.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,222009.9
RTX2060-SASS-accel-9719269-gpgpu-c51350d,106907.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,222009.9
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,108398.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,223628.2
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,108398.0,NA,2097152.0,63490.0,63490.0,0.0,0.0,0.0,223628.2
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,109071.0,NA,1558515.0,63490.0,63490.0,256.0,0.0,0.0,189440.9
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,100949.0,NA,1508979.0,63490.0,63490.0,256.0,0.0,0.0,190527.9
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,102492.0,123333.0,1538680.0,63490.0,63490.0,256.0,0.0,0.0,190141.9
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,122562.0,129808.0,2097152.0,65538.0,65538.0,256.0,0.0,0.0,233176.6
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,122562.0,129808.0,2097152.0,65538.0,65538.0,256.0,0.0,0.0,228757.8
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,124980.0,129808.0,2097152.0,65538.0,65538.0,256.0,0.0,0.0,228591.1
