----------------------------------------------------------------------------------------------------,,,,,,,,
Accel-Sim-build,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,830.0,830.0,NA,NA,NA,1135.9
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,822.0,822.0,NA,NA,NA,1146.2
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,800.0,800.0,NA,NA,NA,1149.1
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,768.0,768.0,NA,NA,NA,1363.1
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,800.0,800.0,NA,NA,NA,1189.2
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,852.0,852.0,NA,NA,NA,602.0
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,21.0,NA,269.0,856.0,856.0,956.0,1610.0,32.0,1283.2
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,22.0,NA,263.0,798.0,798.0,1007.0,1169.0,34.0,731.1
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,25.0,NA,262.0,804.0,804.0,1003.0,1154.0,32.0,699.6
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,24.0,NA,262.0,792.0,792.0,994.0,1440.0,32.0,710.8
RTX2060-SASS-accel-9719269-gpgpu-c51350d,22.0,NA,264.0,802.0,802.0,999.0,1156.0,33.0,699.2
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,25.0,NA,200.0,844.0,844.0,1021.0,1632.0,32.0,835.8
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,23.0,NA,235.0,842.0,842.0,998.0,1575.0,31.0,751.8
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,23.0,NA,324.0,798.0,798.0,909.0,1248.0,31.0,787.2
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,22.0,NA,472.0,1142.0,1142.0,1137.0,1517.0,40.0,920.6
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,33.0,124.0,469.0,1162.0,1162.0,1165.0,1563.0,42.0,885.6
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,23.0,157.0,219.0,962.0,962.0,1104.0,1582.0,37.0,770.3
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,24.0,140.0,260.0,916.0,916.0,1119.0,1216.0,38.0,776.0
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,19.0,118.0,262.0,860.0,860.0,1055.0,1432.0,41.0,1052.9
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,23.0,159.0,224.0,980.0,980.0,1173.0,1673.0,38.0,857.1
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,25.0,146.0,288.0,1026.0,1026.0,1267.0,1810.0,40.0,861.4
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,25.0,140.0,289.0,960.0,960.0,1165.0,1749.0,44.0,926.2
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,23.0,174.0,292.0,1026.0,1026.0,1274.0,2313.0,46.0,1104.6
RTX2060-SASS-accel-5745567-gpgpu-d38b300,25.0,138.0,296.0,1098.0,1098.0,1308.0,2342.0,44.0,998.9
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,24.0,159.0,202.0,1056.0,1056.0,1273.0,2069.0,39.0,965.9
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,25.0,167.0,259.0,1112.0,1112.0,1068.0,2356.0,40.0,856.2
RTX2060-SASS-accel-052e574-gpgpu-d38b300,25.0,148.0,288.0,1012.0,1012.0,1249.0,2193.0,45.0,867.3
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,24.0,111.0,252.0,1056.0,1056.0,1280.0,1861.0,39.0,945.0
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,23.0,167.0,269.0,1092.0,1092.0,1176.0,2255.0,31.0,1048.4
RTX2060-SASS-accel-2390972-gpgpu-13c6711,24.0,145.0,282.0,846.0,846.0,1171.0,2249.0,40.0,930.4
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,25.0,138.0,210.0,966.0,966.0,1197.0,1428.0,41.0,744.8
RTX2060-SASS-accel-7442333-gpgpu-13c6711,23.0,164.0,281.0,852.0,852.0,1132.0,2044.0,43.0,792.7
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,25.0,161.0,246.0,772.0,772.0,1060.0,1440.0,40.0,564.5

----------------------------------------------------------------------------------------------------,,,,,,,,
gpu_tot_sim_cycle\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1835534.6
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1835497.8
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1835497.8
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1835534.6
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1835497.8
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,2126864.0,2126864.0,NA,NA,NA,1492994.3
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,44149.0,NA,550820.0,2126864.0,2126864.0,2508371.0,4770144.0,78998.0,1835497.8
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,50204.0,NA,542919.0,2140474.0,2140474.0,2508779.0,4755373.0,79030.0,1404585.5
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,50204.0,NA,542919.0,2140474.0,2140474.0,2508779.0,4755373.0,79030.0,1404585.5
RTX2060-SASS-accel-10dc9a0-gpgpu-1ee03f0,50204.0,NA,542919.0,2140474.0,2140474.0,2508779.0,4755373.0,79030.0,1404585.5
RTX2060-SASS-accel-9719269-gpgpu-c51350d,50204.0,NA,542919.0,2140474.0,2140474.0,2507405.0,4755373.0,79030.0,1404499.6
RTX2060-SASS-accel-6b6f836-gpgpu-585dcf5,52527.0,NA,559061.0,2149170.0,2149170.0,2507650.0,4914887.0,79643.0,1417644.4
RTX2060-SASS-accel-252e8c4-gpgpu-585dcf5,52527.0,NA,559061.0,2149170.0,2149170.0,2507650.0,4914887.0,79643.0,1417534.0
RTX2060-SASS-accel-a4e0907-gpgpu-6c9e13d,49825.0,NA,723668.0,2214710.0,2214710.0,2444164.0,4901531.0,81692.0,1433476.1
RTX2060-SASS-accel-fea3381-gpgpu-6ad461a,59670.0,NA,806091.0,3066738.0,3066738.0,2793769.0,4926843.0,102219.0,1778085.3
RTX2060-SASS-accel-16c3068-gpgpu-6ad461a,52731.0,322159.0,788263.0,3066738.0,3066738.0,2793746.0,4933126.0,102219.0,1684799.6
RTX2060-SASS-accel-8f124d9-gpgpu-99b5997,48336.0,376190.0,556699.0,2422374.0,2422374.0,2794856.0,4866457.0,96963.0,1572368.4
RTX2060-SASS-accel-7a31963-gpgpu-84c4f46,48336.0,376190.0,556699.0,2422374.0,2422374.0,2794776.0,4869909.0,96963.0,1572748.4
RTX2060-SASS-accel-a8c1d6d-gpgpu-84c4f46,47968.0,376190.0,556772.0,2422374.0,2422374.0,2794506.0,4866457.0,96963.0,1572167.2
RTX2060-SASS-accel-000be7f-gpgpu-e466afb,48268.0,365978.0,556525.0,2422374.0,2422374.0,2794770.0,4869638.0,96963.0,1571058.6
RTX2060-SASS-accel-1cb6168-gpgpu-d38b300,48539.0,367491.0,555666.0,2422374.0,2422374.0,2794848.0,4868435.0,96963.0,1570454.8
RTX2060-SASS-accel-a9305c5-gpgpu-d38b300,48423.0,372099.0,555666.0,2422374.0,2422374.0,2794910.0,4866998.0,96963.0,1570922.4
RTX2060-SASS-accel-5b93243-gpgpu-d38b300,48062.0,360606.0,555666.0,2422374.0,2422374.0,2794544.0,4865789.0,96963.0,1569667.8
RTX2060-SASS-accel-5745567-gpgpu-d38b300,48062.0,360606.0,555666.0,2422374.0,2422374.0,2794630.0,4866139.0,96963.0,1570428.6
RTX2060-SASS-accel-8d1cf8e-gpgpu-d38b300,48423.0,364209.0,555666.0,2422374.0,2422374.0,2794887.0,4867757.0,96963.0,1570406.1
RTX2060-SASS-accel-17f819f-gpgpu-d38b300,48554.0,360197.0,556724.0,2422374.0,2422374.0,2795059.0,4867757.0,96963.0,1570410.9
RTX2060-SASS-accel-052e574-gpgpu-d38b300,48423.0,368432.0,555666.0,2422374.0,2422374.0,2794444.0,4865789.0,96963.0,1571106.2
RTX2060-SASS-accel-b78bf0c-gpgpu-1d39b6f,48316.0,372361.0,555932.0,2422382.0,2422382.0,2793895.0,4843458.0,96962.0,1570065.6
RTX2060-SASS-accel-5a776a7-gpgpu-13c6711,47730.0,357648.0,551716.0,2422738.0,2422738.0,2795282.0,4852099.0,96963.0,1569326.2
RTX2060-SASS-accel-2390972-gpgpu-13c6711,47856.0,357648.0,551954.0,2422738.0,2422738.0,2795329.0,4850453.0,96963.0,1569757.6
RTX2060-SASS-accel-a3cf331-gpgpu-13c6711,47980.0,357648.0,551716.0,2422738.0,2422738.0,2795461.0,4850656.0,96963.0,1569505.2
RTX2060-SASS-accel-7442333-gpgpu-13c6711,48211.0,357648.0,551716.0,2422738.0,2422738.0,2795189.0,4850453.0,96963.0,1568661.2
RTX2060-SASS-accel-4f07904-gpgpu-74cdacd,47763.0,357648.0,551306.0,2422738.0,2422738.0,2795415.0,4851436.0,96963.0,1693250.9

----------------------------------------------------------------------------------------------------,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,AV--VG
RTX2060-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,7869129.9
RTX2060-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,7869303.1
RTX2060-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,7869303.1
RTX2060-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,7869129.9
RTX2060-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,7869303.1
RTX2060-SASS-accel-0ce7699-gpgpu-deb5eb5,NA,NA,NA,0.0,0.0,NA,NA,NA,24740.0
RTX2060-SASS-accel-6812c12-gpgpu-deb5eb5,1240.0,NA,0.0,0.0,0.0,16.0,0.0,0.0,7869303.1
RTX2060-SASS-accel-31082a4-gpgpu-1ee03f0,4676.0,NA,0.0,0.0,0.0,16.0,0.0,0.0,1970291.8
RTX2060-SASS-accel-28e2777-gpgpu-1ee03f0,4676.0,NA,0.0,0.0,0.0,16.0,0.0,0.0,1970291.8
