----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
Accel-Sim-build,,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--all_kernels,l1_bw_64f/NO_ARGS--all_kernels,l1_bw_128/NO_ARGS--all_kernels,l1_lat/NO_ARGS--all_kernels,l1_lat/NO_ARGS--all_kernels,l2_bw_32f/NO_ARGS--all_kernels,l2_bw_64f/NO_ARGS--all_kernels,l2_lat/NO_ARGS--all_kernels,mem_bw/NO_ARGS--all_kernels,mem_lat/NO_ARGS--all_kernels,shared_bw/NO_ARGS--all_kernels,shared_lat/NO_ARGS--all_kernels,shared_bank_conflicts/1--all_kernels,shared_bank_conflicts/2--all_kernels,MaxFlops/NO_ARGS--all_kernels,l1_shared_bw/NO_ARGS--all_kernels,l1_bw_32f_unroll/NO_ARGS--all_kernels,l1_bw_32f_unroll_large/NO_ARGS--all_kernels,AVG
RTX2060-SASS,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,accelsim-commit-3fcfe6d_modified_0.0_25-05-29-19-12-57,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
GPGPU-Sim-build,,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--all_kernels,l1_bw_64f/NO_ARGS--all_kernels,l1_bw_128/NO_ARGS--all_kernels,l1_lat/NO_ARGS--all_kernels,l1_lat/NO_ARGS--all_kernels,l2_bw_32f/NO_ARGS--all_kernels,l2_bw_64f/NO_ARGS--all_kernels,l2_lat/NO_ARGS--all_kernels,mem_bw/NO_ARGS--all_kernels,mem_lat/NO_ARGS--all_kernels,shared_bw/NO_ARGS--all_kernels,shared_lat/NO_ARGS--all_kernels,shared_bank_conflicts/1--all_kernels,shared_bank_conflicts/2--all_kernels,MaxFlops/NO_ARGS--all_kernels,l1_shared_bw/NO_ARGS--all_kernels,l1_bw_32f_unroll/NO_ARGS--all_kernels,l1_bw_32f_unroll_large/NO_ARGS--all_kernels,AVG
RTX2060-SASS,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,gpgpu-sim_git-commit-bc268aab_modified_0.0,NA

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
gpu_tot_sim_insn\s*=\s*(.*),,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/NO_ARGS--_Z5l2_bwPjS_PfS0_--0,l2_bw_64f/NO_ARGS--_Z5l2_bwPjS_PdS0_--0,l2_lat/NO_ARGS--_Z6l2_latPjS_PmS0_--0,mem_bw/NO_ARGS--_Z6mem_bwPfS_S_S_S_S_PjS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxFlops/NO_ARGS--_Z9max_flopsIfEvPjS0_PT_S2_S2_--0,l1_shared_bw/NO_ARGS--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
RTX2060-SASS,3345408.0,2258944.0,39141376.0,100424.0,100424.0,191987712.0,189530112.0,50212.0,72482816.0,11212992.0,173120512.0,66018.0,2883584.0,2883584.0,4316160.0,52959232.0,6567936.0,9655296.0,42370152.3

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/NO_ARGS--_Z5l2_bwPjS_PfS0_--0,l2_bw_64f/NO_ARGS--_Z5l2_bwPjS_PdS0_--0,l2_lat/NO_ARGS--_Z6l2_latPjS_PmS0_--0,mem_bw/NO_ARGS--_Z6mem_bwPfS_S_S_S_S_PjS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxFlops/NO_ARGS--_Z9max_flopsIfEvPjS0_PT_S2_S2_--0,l1_shared_bw/NO_ARGS--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
RTX2060-SASS,8.0,42.0,105.0,276.0,276.0,765.0,1555.0,785.0,897.0,365.0,419.0,12.0,21.0,15.0,11.0,124.0,14.0,31.0,317.8

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
gpu_tot_sim_cycle\s*=\s*(.*),,,,,,,,,,,,,,,,,,,
CFG,l1_bw_32f/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_64f/NO_ARGS--_Z5l1_bwPjS_PdS0_--0,l1_bw_128/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l2_bw_32f/NO_ARGS--_Z5l2_bwPjS_PfS0_--0,l2_bw_64f/NO_ARGS--_Z5l2_bwPjS_PdS0_--0,l2_lat/NO_ARGS--_Z6l2_latPjS_PmS0_--0,mem_bw/NO_ARGS--_Z6mem_bwPfS_S_S_S_S_PjS0_--0,mem_lat/NO_ARGS--_Z7mem_latPjS_PmS0_--0,shared_bw/NO_ARGS--_Z9shared_bwPjS_Pf--0,shared_lat/NO_ARGS--_Z10shared_latPjS_Pmj--0,shared_bank_conflicts/1--_Z18transposeCoalescedPfS_ii--0,shared_bank_conflicts/2--_Z24transposeNoBankConflictsPfS_ii--0,MaxFlops/NO_ARGS--_Z9max_flopsIfEvPjS0_PT_S2_S2_--0,l1_shared_bw/NO_ARGS--_Z9shared_bwPjS_S_S_j--0,l1_bw_32f_unroll/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,l1_bw_32f_unroll_large/NO_ARGS--_Z5l1_bwPjS_PfS0_--0,AVG
RTX2060-SASS,48084.0,352949.0,552833.0,2422738.0,2422738.0,804594.0,1688483.0,6782099.0,919233.0,2795608.0,4853402.0,96963.0,22625.0,12500.0,73657.0,1049180.0,77965.0,162274.0,1396551.4

----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),,,,,,,,,,,,,,,,,,,
