RTX3070-SASS-accel-6c06571-gpgpu-b18ee39,NA,87526313.9
RTX3070-SASS-accel-96d7923-gpgpu-b18ee39,NA,87526313.9
RTX3070-SASS-accel-ff9a5d6-gpgpu-b18ee39,NA,87526313.9
RTX3070-SASS-accel-3c96d32-gpgpu-b18ee39,NA,87526313.9
RTX3070-SASS-accel-d7f397a-gpgpu-b18ee39,NA,87526313.9
A100-SASS-accel-963526a-gpgpu-b18ee39,54947840.0,127524575.6
A100-SASS-accel-55194db-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-b585512-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-bf35ab0-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-f0e4574-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-9be0e3c-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-1b34b87-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-f28591a-gpgpu-6c3cf4f,54947840.0,127524575.6
A100-SASS-accel-b9da7ee-gpgpu-e4a8836,54947840.0,127524575.6
A100-SASS-accel-b4dd5bb-gpgpu-e4a8836,54947840.0,127524575.6
A100-SASS-accel-9a0b752-gpgpu-0f3a798,54947840.0,127524575.6
A100-SASS-accel-b119851-gpgpu-0f3a798,54947840.0,54947840.0

----------------------------------------------------------------------------------------------------,,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,AV--VG
RTX3070-SASS-accel-efa370c-gpgpu-6b22d66,NA,532.7
RTX3070-SASS-accel-66ed9f2-gpgpu-6b22d66,NA,427.9
RTX3070-SASS-accel-b1c61bc-gpgpu-6b22d66,NA,480.3
RTX3070-SASS-accel-b3d9838-gpgpu-22159f1,NA,422.4
RTX3070-SASS-accel-3ff1be8-gpgpu-67d8a3b,NA,475.8
RTX3070-SASS-accel-3ff1be8-gpgpu-9d88a1c,NA,415.7
RTX3070-SASS-accel-879dc35-gpgpu-3364474,NA,532.2
RTX3070-SASS-accel-e7b698e-gpgpu-3364474,NA,445.5
RTX3070-SASS-accel-1688c9d-gpgpu-3364474,NA,475.4
RTX3070-SASS-accel-a634fe0-gpgpu-3364474,NA,504.8
RTX3070-SASS-accel-7a8e345-gpgpu-3364474,NA,516.8
RTX3070-SASS-accel-d3ba55f-gpgpu-a3c52cf,NA,367.0
RTX3070-SASS-accel-ec00037-gpgpu-a3c52cf,NA,387.2
RTX3070-SASS-accel-a619790-gpgpu-a3c52cf,NA,369.2
RTX3070-SASS-accel-31777f7-gpgpu-a3c52cf,NA,484.6
RTX3070-SASS-accel-6c06571-gpgpu-b18ee39,NA,460.0
RTX3070-SASS-accel-96d7923-gpgpu-b18ee39,NA,379.1
RTX3070-SASS-accel-ff9a5d6-gpgpu-b18ee39,NA,380.5
RTX3070-SASS-accel-3c96d32-gpgpu-b18ee39,NA,1587.1
RTX3070-SASS-accel-d7f397a-gpgpu-b18ee39,NA,377.2
A100-SASS-accel-963526a-gpgpu-b18ee39,211.0,1690.2
A100-SASS-accel-55194db-gpgpu-6c3cf4f,292.0,1738.5
A100-SASS-accel-b585512-gpgpu-6c3cf4f,198.0,1671.0
A100-SASS-accel-bf35ab0-gpgpu-6c3cf4f,186.0,1398.7
A100-SASS-accel-f0e4574-gpgpu-6c3cf4f,285.0,2004.5
A100-SASS-accel-9be0e3c-gpgpu-6c3cf4f,187.0,1933.1
A100-SASS-accel-1b34b87-gpgpu-6c3cf4f,286.0,1726.9
A100-SASS-accel-f28591a-gpgpu-6c3cf4f,283.0,1873.2
A100-SASS-accel-b9da7ee-gpgpu-e4a8836,343.0,2288.2
A100-SASS-accel-b4dd5bb-gpgpu-e4a8836,238.0,2416.4
A100-SASS-accel-9a0b752-gpgpu-0f3a798,351.0,2489.5
A100-SASS-accel-b119851-gpgpu-0f3a798,304.0,304.0

----------------------------------------------------------------------------------------------------,,
gpu_tot_sim_cycle\s*=\s*(.*),,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,AV--VG
RTX3070-SASS-accel-efa370c-gpgpu-6b22d66,NA,1444304.9
RTX3070-SASS-accel-66ed9f2-gpgpu-6b22d66,NA,1444304.9
RTX3070-SASS-accel-b1c61bc-gpgpu-6b22d66,NA,1444304.9
RTX3070-SASS-accel-b3d9838-gpgpu-22159f1,NA,1444304.9
RTX3070-SASS-accel-3ff1be8-gpgpu-67d8a3b,NA,1444304.9
RTX3070-SASS-accel-3ff1be8-gpgpu-9d88a1c,NA,1444304.9
RTX3070-SASS-accel-879dc35-gpgpu-3364474,NA,976479.9
RTX3070-SASS-accel-e7b698e-gpgpu-3364474,NA,976479.9
RTX3070-SASS-accel-1688c9d-gpgpu-3364474,NA,976479.9
RTX3070-SASS-accel-a634fe0-gpgpu-3364474,NA,976479.9
RTX3070-SASS-accel-7a8e345-gpgpu-3364474,NA,976479.9
RTX3070-SASS-accel-d3ba55f-gpgpu-a3c52cf,NA,977284.4
RTX3070-SASS-accel-ec00037-gpgpu-a3c52cf,NA,977284.4
RTX3070-SASS-accel-a619790-gpgpu-a3c52cf,NA,977284.4
RTX3070-SASS-accel-31777f7-gpgpu-a3c52cf,NA,977284.4
RTX3070-SASS-accel-6c06571-gpgpu-b18ee39,NA,977284.4
RTX3070-SASS-accel-96d7923-gpgpu-b18ee39,NA,977284.4
RTX3070-SASS-accel-ff9a5d6-gpgpu-b18ee39,NA,977284.4
RTX3070-SASS-accel-3c96d32-gpgpu-b18ee39,NA,977284.4
RTX3070-SASS-accel-d7f397a-gpgpu-b18ee39,NA,977284.4
A100-SASS-accel-963526a-gpgpu-b18ee39,604524.0,1318173.2
A100-SASS-accel-55194db-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-b585512-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-bf35ab0-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-f0e4574-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-9be0e3c-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-1b34b87-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-f28591a-gpgpu-6c3cf4f,604524.0,1318173.2
A100-SASS-accel-b9da7ee-gpgpu-e4a8836,598610.0,1311223.2
A100-SASS-accel-b4dd5bb-gpgpu-e4a8836,598610.0,1311223.2
A100-SASS-accel-9a0b752-gpgpu-0f3a798,598610.0,1311223.2
A100-SASS-accel-b119851-gpgpu-0f3a798,598610.0,598610.0

----------------------------------------------------------------------------------------------------,,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),,
CFG,l1_bw_32f/__tpb_1024___tpsm_1024___blocks_1--_Z5l1_bwPmS_PfPKf--0,AV--VG
RTX3070-SASS-accel-efa370c-gpgpu-6b22d66,NA,1750242.4
RTX3070-SASS-accel-66ed9f2-gpgpu-6b22d66,NA,1750242.4
RTX3070-SASS-accel-b1c61bc-gpgpu-6b22d66,NA,1750242.4
RTX3070-SASS-accel-b3d9838-gpgpu-22159f1,NA,1750242.4
